常看 多源综合v26.1.31,#genre#
山西卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000032/index.m3u8
江西卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000035/index.m3u8
河南卫视,http://192.168.2.88:8888/udp/239.253.244.44:8000
河南卫视,http://192.168.3.55:3566/790187291
河南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000358/index.m3u8
河南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000037/index.m3u8
江西卫视,http://192.168.2.88:8888/udp/239.253.244.47:8000
江西卫视,http://192.168.3.55:3566/783847495
江西卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000335/index.m3u8
广西卫视,http://192.168.2.88:8888/udp/239.253.244.40:8000
广西卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000038/index.m3u8
吉林卫视,http://192.168.2.88:8888/udp/239.253.244.46:8000
吉林卫视,http://192.168.3.55:3566/947472500
吉林卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000363/index.m3u8
吉林卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000036/index.m3u8
云南卫视,http://192.168.2.88:8888/udp/239.253.244.42:8000
云南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000039/index.m3u8
陕西卫视,http://192.168.2.88:8888/udp/239.253.244.49:8000
陕西卫视,http://192.168.3.55:3566/738910838
陕西卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000029/index.m3u8
内蒙古卫视,http://192.168.2.88:8888/udp/239.253.244.58:8000
内蒙古卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000040/index.m3u8
宁夏卫视,http://192.168.2.88:8888/udp/239.253.244.53:8000
宁夏卫视,http://192.168.3.55:3566/738910535
宁夏卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000043/index.m3u8
新疆卫视,http://192.168.2.88:8888/udp/239.253.244.60:8000
新疆卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000044/index.m3u8
甘肃卫视,http://192.168.2.88:8888/udp/239.253.244.74:8000
甘肃卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000349/index.m3u8
甘肃卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000046/index.m3u8
青海卫视,http://192.168.2.88:8888/udp/239.253.244.54:8000
